F0,F1,F2,F3,F4
18,34,24,24,30
32,26,1,19,10
3,49,38,2,31
37,37,44,45,1
14,15,15,37,34
30,9,30,29,10
22,38,49,47,4
20,0,7,10,8
34,21,32,40,41
11,39,11,33,31
38,16,50,26,39
0,12,7,49,20
13,46,24,23,42
34,2,25,14,37
12,43,44,24,8
18,0,32,34,45
13,18,20,16,22
33,23,16,9,35
24,24,34,49,28
43,15,33,35,0
21,46,35,46,5
45,12,14,24,33
10,35,0,3,27
40,6,31,43,13
21,44,4,44,48
24,45,10,48,44
5,2,48,21,40
7,29,2,11,27
45,31,41,25,18
13,21,29,41,9
46,24,49,39,46
26,17,9,18,22
42,46,48,7,30
7,11,32,0,40
42,34,16,37,44
36,13,11,23,9
27,23,8,3,2
1,20,42,32,15
22,11,28,27,41
23,29,29,0,46
17,44,4,27,35
17,9,11,15,34
15,5,6,21,31
24,33,37,39,14
16,11,8,5,31
19,50,31,23,5
45,18,45,40,35
22,31,46,36,9
1,16,1,45,3
10,15,13,30,47
27,49,32,27,0
28,20,49,12,28
3,31,41,18,42
8,44,18,34,29
41,30,36,36,15
27,8,14,43,15
0,5,27,23,48
40,33,36,11,21
37,32,12,2,44
47,12,25,10,19
2,0,41,7,1
50,35,50,32,27
31,4,25,31,47
33,1,34,32,29
3,19,13,19,12
9,50,12,38,13
42,14,5,9,2
0,44,30,39,17
4,20,15,0,42
48,30,34,23,33
27,2,39,47,42
42,5,19,22,0
29,45,23,9,49
17,28,47,29,36
17,5,23,2,45
9,45,29,9,43
37,44,46,46,21
6,23,23,34,31
4,19,22,24,26
13,23,3,12,26
17,1,19,21,27
0,36,25,24,30
41,47,17,19,13
18,13,1,15,24
36,37,37,30,11
11,43,18,23,18
22,33,23,45,50
35,25,29,28,34
46,16,42,0,26
19,33,11,6,37
33,47,28,48,28
30,44,15,30,41
16,32,25,36,33
24,40,32,44,35
5,6,40,13,50
33,0,12,4,5
41,34,48,4,20
19,17,32,40,23
34,39,6,22,16
48,44,1,28,32
