,F0,F1,F2,F3,F4
0,5,6,3,8,8
1,0,2,4,8,9
2,0,9,2,1,3
3,7,6,3,3,4
4,0,2,1,3,1
5,3,9,5,7,5
6,9,0,1,8,4
7,3,3,8,4,3
8,3,3,9,2,5
9,0,4,0,4,7
10,8,8,8,6,8
11,9,6,6,0,7
12,5,7,5,1,2
13,2,6,4,0,5
14,7,7,9,1,2
15,4,6,0,8,7
16,2,2,6,6,0
17,1,9,7,6,1
18,8,9,3,4,2
19,3,4,6,9,1
20,6,6,7,0,1
21,5,7,8,9,5
22,6,4,4,6,0
23,6,0,0,2,9
24,9,8,9,1,1
25,9,6,2,3,2
26,7,0,6,7,6
27,4,4,9,3,2
28,7,5,6,5,8
29,0,7,2,3,8
30,9,6,6,0,8
31,1,2,6,4,3
32,4,1,2,6,5
33,5,4,0,5,9
34,8,4,7,0,0
35,3,1,5,7,1
36,4,5,4,8,7
37,4,3,3,4,3
38,1,4,0,8,5
39,1,1,0,7,6
40,9,8,7,5,9
41,6,4,0,1,9
42,7,8,8,7,1
43,9,9,8,6,0
44,0,1,2,1,4
45,4,0,1,3,3
46,9,4,3,5,0
47,5,7,9,2,3
48,7,8,0,1,6
49,5,4,7,9,5
50,5,0,1,3,2
51,1,9,7,8,3
52,6,1,0,9,9
53,0,6,6,0,9
54,8,6,8,7,6
55,4,4,0,3,7
56,0,8,0,9,0
57,6,7,2,3,2
58,7,6,7,8,2
59,5,2,2,7,5
60,0,6,6,3,5
61,9,4,9,6,5
62,7,0,3,7,8
63,9,2,4,9,9
64,4,6,8,2,5
65,3,2,9,1,0
66,4,8,6,8,3
67,9,9,3,4,9
68,9,8,6,0,6
69,0,9,0,1,6
70,9,4,8,9,3
71,7,9,0,4,5
72,9,8,5,4,3
73,2,7,2,9,4
74,8,5,7,0,1
75,1,6,5,0,7
76,0,1,5,9,4
77,7,0,1,8,4
78,9,1,5,5,1
79,4,2,1,8,6
80,0,0,5,2,3
81,4,8,5,1,1
82,4,7,9,9,6
83,9,6,5,6,8
84,2,6,4,8,0
85,7,6,1,6,6
86,8,6,7,3,3
87,1,0,2,4,5
88,9,4,5,9,0
89,1,5,0,6,6
90,9,0,2,6,3
91,0,9,5,2,9
92,5,5,7,9,0
93,6,3,9,7,8
94,2,6,3,8,1
95,9,4,5,7,2
96,2,8,8,5,2
97,3,8,6,4,6
98,7,7,8,4,3
99,6,2,6,1,7
100,7,9,2,2,8
101,5,2,5,8,1
102,3,2,5,0,7
103,3,9,0,0,0
104,6,4,7,0,1
105,2,8,9,6,9
106,4,2,0,2,5
107,9,7,8,8,4
108,0,8,5,6,1
109,7,1,2,3,3
110,8,2,5,6,0
111,4,5,8,5,8
112,1,0,6,5,1
113,2,1,3,3,9
114,2,8,8,8,8
115,6,9,3,0,2
116,4,7,0,7,3
117,9,0,9,6,2
118,6,9,4,2,5
119,6,8,9,4,4
120,8,8,5,3,9
121,9,2,7,3,9
122,6,4,4,8,5
123,7,5,9,6,8
124,9,5,8,2,8
125,3,3,5,3,7
126,1,3,2,5,7
127,8,4,5,1,6
128,2,2,4,9,4
129,7,1,6,2,6
130,2,9,7,0,0
131,4,6,4,0,2
132,5,0,4,3,4
133,5,1,2,3,3
134,5,1,7,0,5
135,5,8,1,2,7
136,8,1,2,6,8
137,3,6,5,8,0
