,PP01,PS01,RH01,TX01,WD01,WD02,hour,year,dayc
0,0.0,1019.7,97,15.3,0.0,0.0,0,1985,1
1,0.0,1019.4,99,15.2,0.0,0.0,1,1985,1
2,0.0,1019.8,98,15.3,0.0,0.0,2,1985,1
3,0.5,1019.3,97,15.2,0.0,0.0,3,1985,1
4,0.0,1019.0,99,15.0,0.0,0.0,4,1985,1
5,0.0,1019.3,99,15.1,0.0,0.0,5,1985,1
6,0.0,1019.6,98,15.2,0.0,0.0,6,1985,1
7,0.0,1020.6,99,15.1,0.0,0.0,7,1985,1
8,0.0,1020.7,97,15.7,0.0,0.0,8,1985,1
9,0.0,1021.3,94,16.3,0.0,0.0,9,1985,1
10,0.0,1020.9,94,16.9,0.0,0.0,10,1985,1
11,0.0,1020.4,93,17.1,0.0,0.0,11,1985,1
12,0.0,1019.3,94,17.6,1.2,270.0,12,1985,1
13,0.0,1018.6,94,17.6,0.2,0.0,13,1985,1
14,0.1,1018.0,96,17.8,0.8,247.5,14,1985,1
15,0.0,1018.0,94,17.9,0.8,202.5,15,1985,1
16,0.0,1017.9,94,17.9,0.5,247.5,16,1985,1
17,0.0,1018.7,92,17.9,0.5,247.5,17,1985,1
18,0.0,1018.7,94,17.8,0.8,247.5,18,1985,1
19,0.0,1018.9,94,17.6,0.0,0.0,19,1985,1
20,0.0,1018.9,96,17.2,0.0,0.0,20,1985,1
21,0.0,1019.0,97,17.0,1.3,22.5,21,1985,1
22,0.0,1018.9,96,17.0,0.2,0.0,22,1985,1
23,0.0,1018.4,96,17.0,0.0,0.0,23,1985,1
24,0.0,1017.9,97,16.9,0.3,225.0,0,1985,2
25,0.0,1017.6,96,16.6,0.8,247.5,1,1985,2
26,0.0,1017.3,98,16.6,0.2,0.0,2,1985,2
27,0.0,1017.0,96,16.6,0.8,247.5,3,1985,2
28,0.0,1017.3,96,15.8,0.0,0.0,4,1985,2
29,0.0,1017.7,97,15.5,0.0,0.0,5,1985,2
30,0.0,1017.9,96,15.3,0.0,0.0,6,1985,2
31,0.0,1018.7,96,15.2,0.5,247.5,7,1985,2
32,0.0,1019.1,96,15.9,0.3,225.0,8,1985,2
33,0.0,1018.7,91,16.6,0.7,270.0,9,1985,2
34,0.0,1018.6,86,17.7,1.2,270.0,10,1985,2
35,0.0,1017.5,81,19.7,1.8,247.5,11,1985,2
36,0.0,1016.3,77,21.0,1.5,270.0,12,1985,2
37,0.0,1015.6,81,20.9,2.3,337.5,13,1985,2
38,0.0,1015.1,84,19.6,1.3,337.5,14,1985,2
39,0.0,1015.6,86,18.6,1.7,315.0,15,1985,2
40,0.0,1016.6,89,18.0,0.3,315.0,16,1985,2
41,0.0,1017.0,89,18.0,1.0,225.0,17,1985,2
42,0.0,1017.3,90,18.0,0.8,180.0,18,1985,2
43,0.0,1017.4,91,17.7,0.5,157.5,19,1985,2
44,0.0,1017.2,94,17.1,0.0,0.0,20,1985,2
45,0.0,1017.5,93,17.3,0.2,0.0,21,1985,2
46,0.0,1017.4,94,17.2,0.0,0.0,22,1985,2
47,0.0,1017.1,94,17.1,0.3,270.0,23,1985,2
48,0.0,1016.9,94,17.0,0.0,0.0,0,1985,3
49,0.0,1016.8,94,17.1,0.2,0.0,1,1985,3
50,0.0,1017.3,94,17.0,0.3,270.0,2,1985,3
51,0.0,1017.1,94,17.0,0.3,247.5,3,1985,3
52,0.0,1016.9,94,17.0,0.5,225.0,4,1985,3
53,0.0,1017.2,96,17.0,0.3,225.0,5,1985,3
54,0.0,1018.1,98,17.0,0.0,0.0,6,1985,3
55,0.0,1018.8,98,17.0,0.2,0.0,7,1985,3
56,0.0,1018.7,97,17.4,1.0,202.5,8,1985,3
57,0.0,1019.3,89,18.0,0.8,202.5,9,1985,3
58,0.0,1018.5,85,19.1,0.3,202.5,10,1985,3
59,0.0,1017.5,82,20.4,1.0,112.5,11,1985,3
60,0.0,1016.6,81,20.9,1.5,22.5,12,1985,3
61,0.0,1016.1,81,21.2,1.8,337.5,13,1985,3
62,0.0,1015.9,80,20.7,1.2,360.0,14,1985,3
63,0.0,1016.0,79,20.0,3.2,90.0,15,1985,3
64,0.0,1016.4,83,19.1,3.0,67.5,16,1985,3
65,0.0,1017.0,83,18.9,2.2,67.5,17,1985,3
66,0.0,1017.7,83,18.7,2.2,90.0,18,1985,3
67,0.0,1018.4,82,18.4,1.7,112.5,19,1985,3
68,0.0,1018.7,83,18.0,2.0,90.0,20,1985,3
69,0.0,1019.4,84,17.9,1.0,45.0,21,1985,3
70,0.0,1019.6,81,17.1,0.5,225.0,22,1985,3
71,0.1,1019.7,94,16.9,1.2,270.0,23,1985,3
72,0.0,1019.7,93,17.0,0.0,0.0,0,1985,4
73,0.0,1019.9,87,16.9,0.5,67.5,1,1985,4
74,0.0,1019.8,86,16.5,1.8,67.5,2,1985,4
75,0.0,1019.9,90,16.2,2.2,90.0,3,1985,4
76,0.0,1020.1,90,15.9,2.2,90.0,4,1985,4
77,0.0,1020.7,85,15.7,3.3,90.0,5,1985,4
78,0.0,1021.7,84,15.7,0.5,135.0,6,1985,4
79,0.2,1022.8,90,15.2,1.2,270.0,7,1985,4
80,0.3,1023.8,93,14.9,0.8,247.5,8,1985,4
81,0.1,1024.4,84,14.9,0.8,180.0,9,1985,4
82,0.1,1024.4,84,14.6,2.0,67.5,10,1985,4
83,0.0,1023.5,78,15.0,3.2,67.5,11,1985,4
84,0.0,1022.9,78,15.0,2.3,90.0,12,1985,4
85,0.0,1022.0,78,15.1,4.3,90.0,13,1985,4
86,0.0,1021.5,80,14.6,3.0,90.0,14,1985,4
87,0.0,1021.5,84,14.3,2.8,90.0,15,1985,4
88,0.0,1021.4,82,14.1,3.2,90.0,16,1985,4
89,0.0,1022.1,83,14.0,3.0,90.0,17,1985,4
90,0.0,1022.4,84,13.7,2.7,90.0,18,1985,4
91,0.0,1022.7,86,13.4,2.7,90.0,19,1985,4
92,0.0,1022.7,90,13.2,2.3,90.0,20,1985,4
93,0.0,1022.6,91,13.2,3.7,90.0,21,1985,4
94,0.0,1022.7,90,13.2,3.5,90.0,22,1985,4
95,0.0,1022.9,91,13.1,2.5,112.5,23,1985,4
96,0.0,1022.9,89,13.1,2.2,90.0,0,1985,5
97,0.0,1022.8,92,13.1,2.0,90.0,1,1985,5
98,0.0,1022.6,92,13.0,1.8,112.5,2,1985,5
99,0.0,1022.1,93,13.0,2.0,112.5,3,1985,5
100,0.0,1021.7,90,13.0,2.5,90.0,4,1985,5
101,0.0,1021.7,91,13.0,1.5,112.5,5,1985,5
102,0.0,1021.8,91,13.0,2.3,112.5,6,1985,5
103,0.0,1022.2,90,13.0,2.0,90.0,7,1985,5
104,0.0,1022.9,89,13.0,2.7,135.0,8,1985,5
105,0.5,1023.0,92,13.5,1.7,112.5,9,1985,5
106,0.0,1022.7,87,14.2,3.2,90.0,10,1985,5
107,0.0,1022.7,84,14.9,2.7,90.0,11,1985,5
108,0.0,1021.6,84,14.9,4.3,135.0,12,1985,5
109,0.0,1020.6,83,15.0,3.0,90.0,13,1985,5
110,0.0,1020.2,81,14.8,3.5,112.5,14,1985,5
111,0.0,1019.7,82,14.6,3.7,112.5,15,1985,5
112,0.0,1020.2,85,14.2,2.8,90.0,16,1985,5
113,0.0,1020.4,89,13.9,1.5,67.5,17,1985,5
114,0.0,1020.3,89,13.8,2.0,112.5,18,1985,5
115,0.0,1020.8,88,13.9,1.7,90.0,19,1985,5
116,0.0,1021.2,87,14.0,2.7,90.0,20,1985,5
117,0.0,1021.1,89,14.0,2.5,90.0,21,1985,5
118,0.0,1020.5,89,13.8,3.0,112.5,22,1985,5
119,0.0,1021.1,91,14.0,2.8,90.0,23,1985,5
120,0.0,1021.5,91,14.1,1.3,67.5,0,1985,6
121,0.0,1020.6,89,14.3,2.5,112.5,1,1985,6
122,0.0,1020.4,91,14.2,2.3,112.5,2,1985,6
123,0.0,1020.3,91,14.2,2.3,90.0,3,1985,6
124,0.0,1020.4,91,14.2,1.8,90.0,4,1985,6
125,0.0,1019.9,90,14.2,1.8,112.5,5,1985,6
126,0.0,1020.2,90,14.3,1.7,90.0,6,1985,6
127,0.0,1020.1,88,14.7,1.5,112.5,7,1985,6
128,0.0,1020.8,83,15.1,2.0,90.0,8,1985,6
129,0.0,1020.7,81,15.9,2.8,112.5,9,1985,6
130,0.0,1020.4,71,17.3,4.8,67.5,10,1985,6
131,0.0,1020.3,72,17.1,5.0,90.0,11,1985,6
132,0.0,1019.5,73,17.2,5.7,90.0,12,1985,6
133,0.0,1018.6,70,17.6,3.8,90.0,13,1985,6
134,0.0,1018.1,69,17.8,5.7,90.0,14,1985,6
135,0.0,1018.2,75,17.1,4.3,90.0,15,1985,6
136,0.0,1018.7,80,16.3,4.5,90.0,16,1985,6
137,0.0,1019.1,82,16.0,3.3,90.0,17,1985,6
138,0.0,1019.9,85,15.6,4.2,90.0,18,1985,6
139,0.0,1019.9,85,15.4,3.3,112.5,19,1985,6
140,0.0,1019.9,85,15.2,2.7,112.5,20,1985,6
141,0.0,1020.0,81,15.6,2.3,90.0,21,1985,6
142,0.0,1019.6,82,15.4,2.8,112.5,22,1985,6
143,0.0,1018.9,81,15.7,4.2,90.0,23,1985,6
144,0.0,1018.8,83,15.7,4.8,90.0,0,1985,7
145,0.0,1018.6,84,15.8,3.3,67.5,1,1985,7
146,0.0,1018.4,84,15.9,2.8,67.5,2,1985,7
147,0.0,1018.2,84,16.0,3.0,90.0,3,1985,7
148,0.0,1017.4,86,16.1,2.3,90.0,4,1985,7
149,0.0,1017.3,88,15.9,1.2,67.5,5,1985,7
150,0.0,1018.3,86,16.1,1.3,157.5,6,1985,7
