,feature,weight,std
0,2ndFlrSF,0.4455098340830146,0.00560283880518003
1,YearBuilt,0.4175501242094719,0.024574466091701365
2,1stFlrSF,0.31597620482539523,0.011284694893769046
3,TotalBsmtSF,0.1898973081306136,0.011043628864122523
4,LotArea,0.1626771759258527,0.01699827298184439
5,BsmtFinSF1,0.09319201657392451,0.008476472746187999
6,YearRemodAdd,0.08115460920324472,0.01419334192117057
7,TotRmsAbvGrd,0.04706636230590475,0.00642971829371806
8,YrSold,0.01846725320037008,0.002397547314268594
9,MoSold,0.015051975785371829,0.002439623450984251
10,BsmtFinSF2,0.0031742398005440986,0.0005376307702250342
