,F0,F1,F2,F3,F4
0,2.477,0.7178,1.3663,2.3688,2.0357
1,0.3846,0.9794,2.5222,2.0736,2.4622
2,1.3557,0.8338,1.0015,0.0245,0.3568
3,2.8571,0.5105,1.6367,1.8212,1.9811
4,0.5984,1.5511,2.4573,1.1097,0.731
5,1.7331,0.6771,1.1463,2.5921,0.5087
6,1.1966,0.5528,2.519,1.5254,2.6158
7,1.8563,1.0333,1.0944,3.224,2.9894
8,0.1583,1.8662,2.3132,2.5051,3.217
9,2.6,0.2634,0.2682,1.5362,2.293
10,0.1508,1.27,1.5223,2.9835,0.3153
11,2.829,2.1879,0.7084,1.6895,2.6018
12,2.894,0.7904,0.3643,1.4416,2.7027
13,2.2569,3.0879,2.7286,0.8667,3.2515
14,0.5373,3.0299,3.0876,3.033,1.8413
15,1.1472,0.3865,1.3989,1.049,2.3165
16,0.5542,3.2501,1.9919,3.2156,0.8983
17,1.9393,2.1039,0.3687,1.5462,2.224
18,0.082,2.0437,1.2626,2.6729,2.3404
19,1.6408,1.76,1.5538,1.6719,1.32
20,0.9475,0.8088,0.6462,1.8123,1.0905
21,1.5051,2.9976,2.9455,1.9907,2.8238
22,0.9671,2.8624,1.5307,0.1349,2.3945
23,3.1737,2.8942,2.3916,0.7597,2.1577
24,0.3322,2.0671,1.3347,1.1914,3.2655
25,1.4195,1.8527,0.2818,0.2067,0.4708
26,1.2679,1.4676,2.7243,2.5437,2.53
27,1.652,1.4666,2.2659,2.8811,2.0681
28,0.4536,1.2134,0.2831,0.9386,1.2803
29,0.2324,2.5452,1.8312,2.8926,0.9645
30,1.5453,1.5407,0.6477,1.9429,3.0515
31,1.6331,0.7389,2.8473,1.4241,2.7493
32,1.4141,2.689,2.6884,1.9874,1.7428
33,0.6594,1.7802,2.9245,2.1807,1.7833
34,0.3777,1.6496,0.3005,0.8821,2.6461
35,0.4925,1.3524,0.9699,3.0571,2.5127
36,3.1454,0.3888,3.1994,2.9196,2.3413
37,1.3247,0.753,2.2162,1.9413,1.6458
38,1.7731,2.507,0.659,2.369,2.3136
39,0.8527,0.0867,2.187,0.1707,0.3148
40,2.3747,3.1454,1.2124,3.2293,1.7131
41,0.3848,0.8351,1.5179,1.8978,2.2905
42,1.69,1.5296,1.1651,0.2307,1.513
43,2.1219,2.1342,0.3286,2.7109,1.8373
44,1.4696,1.6414,1.8314,0.4432,1.5313
45,1.1975,2.9473,1.1264,1.8126,2.4721
46,2.8219,0.9156,0.4344,2.6531,2.9121
47,0.6353,1.0176,1.707,1.6099,1.4009
48,2.947,1.2672,2.4918,0.757,0.8085
49,0.3808,0.7884,0.4767,2.8051,0.56
50,1.9379,3.0235,0.2872,0.4243,2.7997
51,1.674,1.5143,2.2173,1.4385,1.9711
52,2.753,2.9591,1.2937,0.5909,2.0794
53,0.8551,0.688,0.8422,2.5265,2.4619
54,2.209,2.8841,1.999,1.123,3.2075
55,0.7643,0.3923,2.5308,1.04,1.1686
56,1.9746,0.8313,0.8285,1.3223,3.247
57,0.7206,2.5473,0.254,0.5737,2.1033
58,1.3682,0.7832,1.3207,1.4581,3.1418
59,3.0699,0.3244,2.3995,0.7878,2.264
60,0.9397,3.1553,0.9475,1.4905,1.3076
61,0.5658,0.8502,0.2967,1.0371,0.0005
62,1.5793,2.146,1.9316,2.6155,1.6944
63,2.233,1.2731,0.2844,0.4218,1.0064
64,1.917,1.3199,0.1309,2.5187,1.4001
65,2.994,2.4684,1.8469,2.3498,0.9439
66,1.6931,1.4478,1.4491,3.0776,3.2004
67,0.5859,2.1166,1.5861,0.5722,0.7154
68,0.7581,1.4597,2.1827,1.7373,1.6897
69,1.0907,2.2771,2.8581,0.6541,0.6217
70,1.3812,2.5787,2.4236,1.6825,1.5074
71,1.9191,2.6839,2.7088,1.415,3.2049
72,0.248,0.7881,2.0352,2.2022,3.2361
73,1.7062,1.779,1.4717,0.131,0.5068
74,0.7657,0.2964,2.4447,1.0924,2.3373
75,3.02,2.9228,0.11,1.738,1.7568
76,2.5654,0.3848,3.0931,3.2607,2.25
77,1.6356,1.9237,1.1748,0.8021,1.853
78,2.0951,1.4102,2.6778,1.8422,1.8198
79,0.3677,2.4774,1.398,1.6924,2.3556
80,0.5152,2.0079,0.5808,1.3582,0.7809
81,1.8903,2.89,1.6231,3.1244,1.7404
82,0.3624,0.4993,2.0669,0.0735,3.1208
83,2.1523,0.6756,2.4325,2.678,1.0966
84,0.2994,2.0402,2.9823,1.0845,3.0689
85,1.0802,1.001,1.3415,3.1651,0.998
86,2.185,1.9163,0.1369,2.0626,2.3486
87,3.0201,0.2023,2.5185,1.0836,2.9635
88,0.4612,2.2279,3.1003,0.4154,0.8379
89,0.6752,2.4333,2.4727,1.2923,1.0681
90,0.8577,2.878,1.845,3.1136,2.7241
91,0.1889,1.3525,1.9873,2.0985,0.0558
92,2.3683,1.1689,0.3154,2.5783,3.2346
93,2.4831,1.2899,1.1904,1.446,2.9184
94,2.6051,3.181,1.5426,2.9052,1.3069
95,1.7812,3.2472,1.8245,1.1651,1.0155
96,3.0832,2.5944,1.9561,2.113,0.0028
97,1.6223,0.6825,3.0974,0.9874,1.448
98,2.4538,2.2188,1.7527,1.587,0.7075
99,1.1596,2.1822,2.0708,1.8865,0.2436
100,0.1118,1.1222,0.5015,0.8332,2.0722
101,1.2037,1.4542,1.3506,0.6185,1.6027
102,1.474,2.9633,1.2274,2.8386,3.1863
103,2.4634,0.217,2.2696,1.5746,1.5925
104,1.4774,1.1881,1.9846,1.2604,2.2757
105,2.846,1.1431,2.7088,1.6055,0.4938
106,3.1315,3.2472,1.4377,0.9544,0.2472
107,2.3167,1.0655,0.6864,0.1467,1.509
108,1.7973,0.3422,0.7384,0.4667,0.3725
109,2.5153,3.1851,3.2001,0.1329,1.0551
110,1.8575,0.5647,2.0036,1.106,0.3245
111,3.0773,3.121,2.1295,2.8774,0.4382
112,3.0058,2.445,2.0638,0.712,0.6298
113,1.5204,0.3125,1.8817,1.7298,1.5346
114,3.1569,0.5575,1.4497,0.6925,2.8108
115,1.9174,2.7191,1.6042,0.6223,3.1699
116,1.0811,1.7833,1.0721,0.8291,1.6205
117,3.1724,0.9607,0.264,0.0601,0.1407
118,3.1672,2.9733,0.0082,0.592,0.3491
119,1.6145,1.0888,2.7836,2.8807,1.5711
120,1.0335,0.3625,2.8955,1.1268,1.1774
121,1.661,0.3779,0.5059,1.9978,1.7365
122,3.0326,1.1408,1.1932,0.438,2.8322
123,0.4523,1.882,2.4819,2.4548,1.9651
124,1.1747,2.6718,2.3484,2.1475,0.1173
125,2.4707,1.2978,2.3809,0.6826,0.3679
126,2.389,1.5159,2.316,0.8598,1.1916
127,0.5529,2.5587,0.1138,2.7773,2.1301
