,OverallQual,OverallCond,YearBuilt,MoSold,YrSold
0,5,6,1961,6,2010
1,6,6,1958,6,2010
2,5,5,1997,3,2010
3,6,6,1998,6,2010
4,8,5,1992,1,2010
5,6,5,1993,4,2010
6,6,7,1992,3,2010
7,6,5,1998,5,2010
8,7,5,1990,2,2010
9,4,5,1970,4,2010
10,7,5,1999,6,2010
11,6,5,1971,2,2010
12,5,5,1971,3,2010
13,6,6,1975,6,2010
14,7,6,1975,6,2010
15,9,5,2009,1,2010
16,8,5,2009,6,2010
17,9,5,2005,6,2010
18,8,5,2005,2,2010
19,9,5,2003,6,2010
20,8,5,2002,6,2010
21,8,5,2006,4,2010
22,6,5,2005,1,2010
23,7,5,2006,1,2010
24,7,5,2004,6,2010
25,7,5,2004,4,2010
26,8,5,1998,1,2010
27,8,5,2005,5,2010
28,7,5,2009,4,2010
29,6,5,2005,5,2010
30,7,5,2004,4,2010
31,5,5,1920,4,2010
32,6,6,1974,4,2010
33,8,5,1993,6,2010
34,8,5,1992,6,2010
35,7,5,2004,3,2010
36,7,5,2004,1,2010
37,7,5,2004,4,2010
38,7,5,2004,2,2010
39,6,5,2005,5,2010
40,6,5,2000,5,2010
41,7,5,2003,6,2010
42,8,5,2010,4,2010
43,8,5,2000,4,2010
44,7,5,2002,4,2010
45,6,6,1967,5,2010
46,6,5,1993,3,2010
47,6,5,1978,4,2010
48,6,6,1971,6,2010
49,5,5,1966,4,2010
50,5,5,1966,4,2010
51,5,6,1967,4,2010
52,6,5,1964,5,2010
53,5,6,1962,1,2010
54,5,7,1952,3,2010
55,6,6,1949,1,2010
56,6,8,1966,1,2010
57,5,5,1958,3,2010
58,7,5,2003,2,2010
59,5,5,1959,5,2010
60,5,5,1959,5,2010
61,6,5,1959,6,2010
62,4,5,1956,2,2010
63,5,7,1952,5,2010
64,5,6,1955,6,2010
65,5,5,1958,4,2010
66,4,7,1920,4,2010
67,6,8,1948,5,2010
68,5,6,1960,6,2010
69,6,7,1963,5,2010
70,4,5,1900,1,2010
71,5,7,1920,5,2010
72,5,7,1957,6,2010
73,6,7,1938,1,2010
74,5,7,1948,6,2010
75,5,6,1920,3,2010
76,2,2,1923,6,2010
77,8,9,1900,4,2010
78,8,9,1890,4,2010
79,5,3,1910,6,2010
80,6,7,1922,6,2010
81,5,6,1950,3,2010
82,7,7,1922,5,2010
83,4,7,1925,4,2010
84,6,7,1939,4,2010
85,6,6,1940,3,2010
86,5,6,1942,3,2010
87,6,7,1948,3,2010
88,5,7,1936,5,2010
89,5,5,1930,3,2010
90,6,5,1923,3,2010
91,4,5,1915,6,2010
92,6,8,1912,5,2010
93,6,8,1920,2,2010
94,5,5,1959,5,2010
95,5,3,1917,1,2010
96,5,4,1915,2,2010
97,6,5,1940,3,2010
98,4,1,1907,3,2010
99,5,7,1910,6,2010
100,4,3,1967,5,2010
101,5,7,1966,6,2010
102,5,5,1968,5,2010
103,5,5,1978,5,2010
104,5,5,1968,3,2010
105,7,7,1977,4,2010
106,4,4,1927,6,2010
107,6,5,1978,5,2010
108,3,4,1938,6,2010
109,6,7,1950,6,2010
110,4,6,1947,6,2010
111,5,7,1954,6,2010
112,7,5,2009,1,2010
113,5,3,1964,6,2010
114,7,5,1987,6,2010
115,6,7,1993,5,2010
116,7,5,2010,3,2010
117,6,8,1900,3,2010
118,5,5,1996,7,2010
119,7,5,1997,4,2010
120,5,8,1977,6,2010
121,5,6,1972,6,2010
122,8,5,2003,5,2010
123,7,5,1997,4,2010
124,6,5,2003,4,2010
125,3,6,1945,4,2010
126,5,6,1954,1,2010
127,5,6,1968,6,2010
128,4,5,1948,6,2010
129,6,6,1975,6,2010
130,4,5,1958,5,2010
131,5,6,1924,5,2010
132,6,6,1939,3,2010
133,4,6,1967,2,2010
134,5,2,1931,5,2010
135,7,6,1941,7,2010
136,5,6,1950,3,2010
137,7,6,1994,6,2010
138,8,6,1989,4,2010
139,8,5,1989,3,2010
140,2,5,1941,4,2010
141,6,5,1921,4,2010
142,4,7,1896,6,2010
143,8,5,2004,5,2010
144,8,5,1998,5,2010
145,6,7,1977,5,2010
146,6,5,1976,3,2010
147,7,5,2008,5,2010
148,7,5,2009,1,2010
149,5,5,2006,4,2010
150,5,5,1965,6,2010
151,5,5,2004,3,2010
152,5,5,1999,6,2010
153,5,6,1973,5,2010
154,4,7,1970,3,2010
155,4,4,1970,6,2010
156,4,6,1972,6,2010
