,A0
0,22872.5
1,26958.1
2,3702.44
3,21804.7
4,8682.34
5,7802.53
6,27942.5
7,33240.4
8,34925.3
9,24499.1
10,6301.88
11,27803.5
12,28516.7
13,33688.6
14,21786.0
15,24359.5
16,12430.9
17,23846.5
18,26224.0
19,15047.2
20,12791.9
21,30555.6
22,24263.3
23,22608.6
24,34000.9
25,4963.23
26,28132.5
27,23805.2
28,13782.6
29,12747.2
30,32539.6
31,29211.8
32,19712.5
33,20325.1
34,27390.6
35,28296.0
36,26660.3
37,18630.0
38,25598.0
39,3539.62
40,20516.3
41,24963.8
42,15494.8
43,21141.0
44,15957.7
45,26677.0
46,31829.6
47,15801.3
48,9107.7
49,8461.84
50,28482.7
51,21388.9
52,21547.0
53,27237.8
54,33429.8
55,12984.1
56,33885.8
57,21658.3
58,33018.1
59,23674.9
60,14694.4
61,1080.84
62,19775.7
63,10529.8
64,16548.7
65,12001.9
66,35242.7
67,7906.66
68,18868.8
69,7180.87
70,17026.0
71,33763.6
72,34775.1
73,5365.67
74,24713.8
75,19349.9
76,26076.8
77,19470.5
78,20324.3
79,25413.6
80,9246.77
81,20722.0
82,31494.3
83,13896.4
84,32092.9
85,13291.2
86,25583.8
87,30975.6
88,9127.37
89,12246.3
90,30569.2
91,2869.34
92,34970.5
93,30764.8
94,16163.2
95,11537.3
96,2365.84
97,15785.9
98,8862.61
99,4552.96
100,21616.7
101,16796.5
102,34856.0
103,17731.6
104,24229.9
105,6829.26
106,3606.67
107,15318.3
108,4270.86
109,11039.2
110,4558.96
111,7507.54
112,7244.74
113,17268.6
114,28955.1
115,32511.2
116,17161.1
117,1506.58
118,4117.32
119,18883.0
120,13195.1
121,19419.2
122,28894.7
123,22373.8
124,3584.13
125,4615.54
126,13025.8
127,24115.8
128,15351.2
129,33281.2
130,23358.5
131,34477.2
132,20635.2
133,7831.93
134,22693.4
135,1977.36
136,16083.0
137,9415.26
138,9316.22
139,19882.3
140,29785.6
141,14518.6
142,21065.9
143,25675.2
144,20925.1
145,9167.58
146,33305.0
147,14040.9
148,4637.25
149,33398.7
150,29182.7
151,25337.4
152,13646.9
153,3833.47
154,2289.64
155,32915.9
156,33688.5
157,10478.0
158,25852.2
159,23653.0
160,17626.7
161,12720.4
162,28262.2
163,33458.5
164,12634.1
165,17408.7
166,16798.8
167,21261.0
168,22287.0
169,21160.1
170,18042.3
171,22657.0
172,21375.8
173,25937.9
174,15669.3
175,1796.03
176,11649.8
177,15648.7
178,35228.5
179,31492.6
180,32751.2
181,23457.8
182,35062.0
183,32029.4
184,28264.8
185,11456.4
186,28066.6
187,33600.3
188,21160.4
189,24213.0
190,9599.2
191,2127.69
192,8716.32
193,17926.2
194,29830.9
195,24267.8
196,15718.0
197,11412.9
198,22685.6
199,20434.6
200,34076.5
201,26029.4
202,21491.4
203,27924.0
204,15067.8
205,26058.7
206,31156.3
207,6086.44
208,27398.5
209,11988.1
210,14402.3
211,14524.2
212,27190.3
213,3335.97
214,12769.9
215,22346.2
216,31127.7
217,5543.59
218,8049.66
219,11495.9
220,10696.0
221,25241.5
222,6593.48
223,9898.66
224,16237.5
225,29971.4
226,12953.5
227,12218.6
228,30213.7
229,27359.8
230,14681.8
231,27439.6
232,27359.4
233,25202.8
234,22016.1
235,31815.3
236,2724.28
237,10508.1
238,10432.8
239,21983.1
240,35688.7
241,23389.3
242,4165.06
243,9967.98
244,30081.9
245,28525.8
246,30906.4
247,3834.73
248,3944.37
249,26122.2
250,22855.7
251,26995.2
252,32758.1
253,25198.4
254,10446.9
255,33011.3
256,13569.8
257,14665.7
258,17091.7
259,16138.6
260,5437.04
261,22266.0
262,27818.4
263,30059.8
264,3487.76
265,8871.31
266,14237.2
267,9118.7
268,16399.8
269,22318.8
270,28667.6
271,15441.7
272,15418.8
273,21488.0
274,10018.4
275,13573.1
276,3124.63
277,25456.7
278,18945.9
279,35316.4
280,12245.8
281,3743.99
282,4090.76
283,1949.32
284,1064.65
285,13530.2
286,34330.7
287,19985.9
288,17784.1
289,24808.9
290,24105.4
291,8154.84
292,10528.0
293,12597.2
294,3265.69
295,23497.5
296,29795.9
297,8369.95
298,7745.53
299,15024.1
300,15263.6
301,31257.5
302,28461.3
303,6336.8
304,32744.7
305,32498.8
306,29621.5
307,6336.06
308,20953.7
309,20691.4
310,9341.65
311,16526.8
312,15487.8
313,14455.3
314,2554.58
315,33453.2
316,10955.4
317,21638.8
318,32601.9
319,25288.6
320,9492.43
321,19692.8
322,7592.9
323,4542.71
324,27577.8
325,18053.6
326,15441.6
327,18409.1
328,6121.58
329,13523.6
330,19480.2
331,24579.1
332,31957.2
333,14491.2
334,20443.0
335,31696.1
336,4569.11
337,24460.5
338,5885.6
339,10287.4
340,2667.27
341,9274.89
342,26341.5
343,9205.95
344,12987.2
345,20882.2
346,15421.9
347,3708.13
348,9182.92
349,9475.2
350,21639.9
351,30563.9
352,9042.25
353,19352.2
354,21184.5
355,13465.7
356,23810.0
357,19398.1
358,28749.9
359,16522.1
360,9926.81
361,22601.1
362,33076.3
363,30415.3
364,24989.1
365,33508.6
366,18639.6
367,10178.3
368,22668.3
369,30135.2
370,5575.6
371,9280.12
372,29418.9
373,7868.9
374,7034.94
375,14311.5
376,19929.6
377,34292.9
378,28289.2
379,12462.7
380,25552.1
381,14899.8
382,17703.4
383,28708.7
384,19336.6
385,19483.8
386,32611.6
387,18108.7
388,14052.8
389,3454.77
390,25498.1
391,27963.5
392,35352.6
393,29005.6
394,29825.6
395,7218.07
396,30281.2
397,3577.84
398,20208.0
399,5679.04
400,10830.6
401,13889.1
402,1164.2
403,32256.6
404,27164.9
405,21682.0
406,8765.91
407,25516.9
408,12958.8
409,13973.0
410,8802.52
411,11358.3
412,3931.02
413,23845.0
414,7772.41
415,29809.3
416,2721.72
417,3347.0
418,29932.7
419,26669.9
420,32083.4
421,13309.5
422,32743.1
423,22577.3
424,22957.2
425,28082.2
426,25439.6
427,10536.1
428,3425.13
429,21869.8
430,16969.7
431,7926.46
432,25042.4
433,1973.46
434,26247.4
435,24104.1
436,34191.3
437,30707.2
438,1368.63
439,14228.7
440,3984.34
441,6571.91
442,33979.6
443,31621.7
444,6205.37
445,12205.2
446,9031.65
447,26469.9
448,30220.5
449,32870.4
450,16236.9
451,22557.6
452,32758.5
453,12230.9
454,3296.82
455,10199.2
456,35363.9
457,12619.7
458,4754.0
459,18400.3
460,16062.9
461,33142.7
462,5713.36
463,15972.1
464,18000.5
465,5314.42
466,20865.0
467,9511.32
468,9513.59
469,4369.42
470,9769.6
471,32419.0
472,31971.4
473,4797.44
474,2395.12
475,24336.9
476,15854.3
477,28174.5
478,4195.93
479,26844.5
480,24920.5
481,28762.1
482,12780.5
483,13743.3
484,10510.6
485,4900.86
486,26079.0
487,22605.4
488,16375.8
489,10954.4
490,13097.6
491,19770.0
492,20772.4
493,33054.3
494,1495.65
495,16565.6
496,19803.1
497,10182.0
498,18348.8
499,6071.02
500,27140.5
501,24638.9
502,6755.58
503,25996.8
504,13482.4
505,22510.0
506,1813.57
507,20301.5
508,23097.5
509,14913.4
510,17036.2
511,26119.4
512,22071.7
513,19752.4
514,19303.7
515,16370.5
516,19514.2
517,22743.3
518,24815.1
519,7625.69
520,25705.4
521,19250.2
522,2471.94
523,23154.6
524,20802.2
525,5946.73
526,14275.1
527,11044.5
528,16206.2
529,27504.9
530,24567.9
531,9642.42
532,16303.5
533,27481.3
534,10342.5
535,10521.0
536,24143.3
537,16140.2
538,28425.0
539,4358.33
540,14280.4
541,27102.2
542,20701.0
543,2930.7
544,19830.0
545,22658.4
546,24621.0
547,2662.11
548,23393.5
549,34459.6
550,19249.4
551,29908.2
552,9768.0
553,29415.0
554,18211.6
555,20856.4
556,7001.25
557,9768.36
558,22379.9
559,16012.9
560,30099.4
561,7766.45
562,4336.5
563,30312.3
564,15911.5
565,29687.1
566,26441.2
567,33525.4
568,6042.0
569,3079.44
570,32464.7
571,10350.3
572,12378.2
573,727.464
574,12843.6
575,14755.1
576,17390.5
577,2936.71
578,31791.0
579,27821.8
580,11115.0
581,2961.24
582,31368.1
583,4522.96
584,28612.7
585,2539.88
586,18865.5
587,20658.8
588,15723.7
589,24899.8
590,25905.8
591,3646.83
592,17753.0
593,31107.0
594,5502.56
595,27859.9
596,20110.5
597,32768.4
598,14054.2
599,9282.28
600,2106.51
601,4937.3
602,13697.8
603,19447.0
604,3474.86
605,27859.8
606,2270.32
607,3559.45
608,7025.78
609,7548.8
610,28900.4
611,27960.7
612,9520.2
613,1471.25
614,22337.0
615,28448.6
616,25996.2
617,4984.26
618,6814.51
619,12276.7
620,31953.0
621,17861.8
622,13986.3
623,20007.3
624,6022.17
625,17832.4
626,15816.8
627,15977.5
628,1885.29
629,21004.8
630,12249.5
631,14483.3
632,30087.2
633,3130.52
634,17028.8
635,29743.9
636,11146.3
637,10692.9
638,13497.1
639,1855.23
640,29868.3
641,4897.87
642,19041.5
643,22595.7
644,3345.11
645,26299.5
646,4276.32
647,13874.6
648,24906.7
649,23985.9
650,13087.2
651,6084.72
652,32691.4
653,2490.98
654,15987.7
655,7782.87
656,10117.3
657,8786.92
658,20859.9
659,26533.2
660,21924.3
661,25099.2
662,2578.24
663,6002.98
664,24737.7
665,23164.8
666,13085.5
667,28668.1
668,14641.9
669,34747.6
670,25541.0
671,16519.0
672,8979.92
673,5546.24
674,20521.2
675,19927.3
676,29256.1
677,18938.8
678,6862.89
679,28290.4
680,8850.15
681,25017.9
682,3953.75
683,25218.4
684,35072.2
685,3318.02
686,23562.2
687,12406.7
688,30060.4
689,26517.9
690,11964.6
691,4482.15
692,16518.5
693,35627.7
694,30337.6
695,21208.3
696,3548.25
697,12734.9
698,16559.2
699,11395.2
700,14579.3
701,9726.17
702,26157.9
703,4401.96
704,16103.3
705,8108.51
706,3588.07
707,32269.5
708,3806.01
709,1976.32
710,15979.8
711,16323.8
712,4384.99
713,34277.8
714,7230.82
715,14291.4
716,10199.7
717,4968.41
718,30361.8
719,6717.17
720,12222.9
721,12515.3
722,34055.3
723,7499.53
724,20178.7
725,11764.1
726,18777.2
727,17008.3
728,6759.57
729,30382.2
730,25022.6
731,33810.8
732,19673.1
733,19871.3
734,28218.7
735,12325.6
736,6347.19
737,32940.4
738,22235.6
739,6218.23
740,25297.2
741,22058.8
742,22601.5
743,13029.1
744,17629.6
745,13662.0
746,32120.1
747,25793.8
748,11187.8
749,3176.56
750,28462.0
751,3341.5
752,22815.9
753,26087.6
754,15573.7
755,17211.9
756,31771.4
757,12597.4
758,32531.1
759,31096.5
760,11910.8
761,20884.3
762,20755.5
763,22605.4
764,27311.5
765,8336.85
766,25667.3
767,3335.39
768,22221.4
769,9195.37
770,14010.5
