,GarageArea,YrSold
0,730.0,2010
1,312.0,2010
2,482.0,2010
3,470.0,2010
4,506.0,2010
5,440.0,2010
6,420.0,2010
7,393.0,2010
8,506.0,2010
9,525.0,2010
10,511.0,2010
11,264.0,2010
12,320.0,2010
13,440.0,2010
14,308.0,2010
15,751.0,2010
16,868.0,2010
17,730.0,2010
18,678.0,2010
19,958.0,2010
20,756.0,2010
21,484.0,2010
22,430.0,2010
23,437.0,2010
24,400.0,2010
25,433.0,2010
26,962.0,2010
27,880.0,2010
28,676.0,2010
29,528.0,2010
30,484.0,2010
31,429.0,2010
32,461.0,2010
33,762.0,2010
34,713.0,2010
35,506.0,2010
36,588.0,2010
37,480.0,2010
38,480.0,2010
39,480.0,2010
40,440.0,2010
41,496.0,2010
42,852.0,2010
43,592.0,2010
44,596.0,2010
45,535.0,2010
46,660.0,2010
47,678.0,2010
48,441.0,2010
49,490.0,2010
50,504.0,2010
51,517.0,2010
52,480.0,2010
53,0.0,2010
54,400.0,2010
55,470.0,2010
56,315.0,2010
57,576.0,2010
58,620.0,2010
59,308.0,2010
60,312.0,2010
61,440.0,2010
62,263.0,2010
63,318.0,2010
64,305.0,2010
65,264.0,2010
66,676.0,2010
67,280.0,2010
68,484.0,2010
69,440.0,2010
70,240.0,2010
71,0.0,2010
72,551.0,2010
73,240.0,2010
74,240.0,2010
75,315.0,2010
76,780.0,2010
77,288.0,2010
78,624.0,2010
79,0.0,2010
80,624.0,2010
81,363.0,2010
82,315.0,2010
83,200.0,2010
84,240.0,2010
85,576.0,2010
86,240.0,2010
87,312.0,2010
88,624.0,2010
89,480.0,2010
90,288.0,2010
91,572.0,2010
92,0.0,2010
93,180.0,2010
94,365.0,2010
95,180.0,2010
96,0.0,2010
97,231.0,2010
98,0.0,2010
99,450.0,2010
100,0.0,2010
101,416.0,2010
102,280.0,2010
103,591.0,2010
104,480.0,2010
105,690.0,2010
106,440.0,2010
107,522.0,2010
108,480.0,2010
109,467.0,2010
110,209.0,2010
111,366.0,2010
112,572.0,2010
113,504.0,2010
114,528.0,2010
115,1017.0,2010
116,615.0,2010
117,484.0,2010
118,580.0,2010
119,513.0,2010
120,308.0,2010
121,484.0,2010
122,850.0,2010
123,621.0,2010
124,420.0,2010
125,240.0,2010
126,319.0,2010
127,336.0,2010
128,480.0,2010
129,352.0,2010
130,0.0,2010
131,260.0,2010
132,399.0,2010
133,0.0,2010
134,0.0,2010
135,312.0,2010
136,484.0,2010
137,473.0,2010
138,598.0,2010
139,531.0,2010
140,200.0,2010
141,625.0,2010
142,330.0,2010
143,525.0,2010
144,741.0,2010
145,473.0,2010
146,776.0,2010
147,660.0,2010
148,520.0,2010
149,400.0,2010
150,528.0,2010
151,624.0,2010
152,686.0,2010
153,253.0,2010
154,0.0,2010
155,0.0,2010
156,286.0,2010
157,352.0,2010
158,495.0,2010
159,616.0,2010
160,576.0,2010
161,275.0,2010
162,482.0,2010
163,616.0,2010
164,502.0,2009
165,528.0,2009
166,470.0,2009
167,632.0,2009
168,390.0,2009
169,564.0,2009
170,495.0,2009
171,528.0,2009
172,396.0,2009
173,440.0,2009
174,409.0,2009
175,430.0,2009
176,567.0,2009
177,529.0,2009
178,484.0,2009
179,441.0,2009
180,479.0,2009
181,581.0,2009
182,588.0,2009
183,565.0,2009
184,478.0,2009
185,528.0,2009
186,506.0,2009
187,477.0,2009
188,336.0,2009
189,576.0,2009
190,576.0,2009
191,264.0,2009
192,288.0,2009
193,440.0,2009
194,440.0,2009
195,440.0,2009
196,440.0,2009
197,440.0,2009
198,345.0,2009
199,656.0,2009
200,754.0,2009
201,864.0,2009
202,896.0,2009
203,762.0,2009
204,834.0,2009
205,932.0,2009
206,640.0,2009
207,927.0,2009
208,700.0,2009
209,850.0,2009
210,583.0,2009
211,886.0,2009
212,730.0,2009
213,871.0,2009
214,484.0,2009
215,624.0,2009
216,484.0,2009
217,949.0,2009
218,685.0,2009
219,649.0,2009
220,539.0,2009
221,701.0,2009
222,478.0,2009
223,390.0,2009
224,392.0,2009
225,397.0,2009
226,400.0,2009
227,436.0,2009
228,434.0,2009
229,400.0,2009
230,393.0,2009
231,644.0,2009
232,400.0,2009
233,394.0,2009
234,400.0,2009
235,658.0,2009
236,410.0,2009
237,810.0,2009
238,815.0,2009
239,647.0,2009
240,623.0,2009
241,972.0,2009
242,726.0,2009
243,844.0,2009
244,492.0,2009
245,795.0,2009
246,529.0,2009
247,625.0,2009
248,984.0,2009
249,692.0,2009
250,782.0,2009
251,517.0,2009
252,711.0,2009
253,588.0,2009
254,628.0,2009
255,576.0,2009
256,484.0,2009
257,0.0,2009
258,478.0,2009
259,845.0,2009
260,576.0,2009
261,0.0,2009
262,576.0,2009
263,788.0,2009
264,559.0,2009
265,528.0,2009
266,542.0,2009
267,495.0,2009
268,465.0,2009
269,612.0,2009
270,400.0,2009
271,732.0,2009
272,440.0,2009
273,288.0,2009
274,300.0,2009
275,252.0,2009
276,864.0,2009
277,524.0,2009
278,704.0,2009
279,561.0,2009
280,641.0,2009
281,440.0,2009
282,506.0,2009
283,642.0,2009
284,540.0,2009
285,527.0,2009
286,784.0,2009
287,515.0,2009
288,502.0,2009
289,336.0,2009
290,520.0,2009
291,312.0,2009
292,440.0,2009
293,498.0,2009
294,495.0,2009
295,396.0,2009
296,308.0,2009
297,768.0,2009
298,576.0,2009
299,610.0,2009
300,520.0,2009
301,549.0,2009
302,368.0,2009
303,330.0,2009
304,550.0,2009
305,530.0,2009
306,542.0,2009
307,286.0,2009
308,441.0,2009
309,297.0,2009
310,304.0,2009
311,350.0,2009
312,294.0,2009
313,495.0,2009
314,297.0,2009
315,480.0,2009
316,240.0,2009
317,230.0,2009
318,616.0,2009
319,410.0,2009
320,246.0,2009
321,366.0,2009
322,720.0,2009
323,281.0,2009
324,264.0,2009
325,528.0,2009
326,624.0,2009
327,0.0,2009
328,576.0,2009
329,320.0,2009
330,907.0,2009
331,364.0,2009
332,480.0,2009
333,480.0,2009
334,308.0,2009
335,384.0,2009
336,900.0,2009
337,294.0,2009
338,240.0,2009
339,288.0,2009
340,384.0,2009
341,576.0,2009
342,483.0,2009
343,564.0,2009
344,264.0,2009
345,162.0,2009
346,324.0,2009
347,472.0,2009
348,0.0,2009
349,400.0,2009
350,0.0,2009
351,0.0,2009
352,308.0,2009
353,288.0,2009
354,308.0,2009
355,287.0,2009
356,720.0,2009
357,357.0,2009
358,280.0,2009
359,0.0,2009
360,207.0,2009
361,640.0,2009
362,0.0,2009
363,216.0,2009
364,336.0,2009
365,320.0,2009
366,264.0,2009
367,250.0,2009
368,1184.0,2009
369,576.0,2009
370,216.0,2009
371,0.0,2009
372,316.0,2009
373,379.0,2009
374,0.0,2009
375,384.0,2009
376,0.0,2009
377,308.0,2009
378,220.0,2009
379,0.0,2009
380,252.0,2009
381,226.0,2009
382,668.0,2009
383,504.0,2009
384,384.0,2009
385,480.0,2009
386,336.0,2009
387,0.0,2009
388,498.0,2009
389,340.0,2009
390,240.0,2009
391,252.0,2009
392,266.0,2009
393,462.0,2009
394,576.0,2009
395,473.0,2009
396,576.0,2009
397,720.0,2009
398,400.0,2009
399,672.0,2009
400,400.0,2009
401,820.0,2009
402,820.0,2009
403,820.0,2009
404,1138.0,2009
405,846.0,2009
406,904.0,2009
407,524.0,2009
408,662.0,2009
409,810.0,2009
410,844.0,2009
411,440.0,2009
412,525.0,2009
413,440.0,2009
414,539.0,2009
415,492.0,2009
416,577.0,2009
417,608.0,2009
418,343.0,2009
419,444.0,2009
420,1231.0,2009
421,570.0,2009
422,550.0,2009
423,608.0,2009
424,521.0,2009
425,523.0,2009
426,511.0,2009
427,810.0,2009
428,440.0,2009
429,544.0,2009
430,525.0,2009
431,320.0,2009
432,195.0,2009
433,0.0,2009
434,313.0,2009
435,256.0,2009
436,250.0,2009
437,180.0,2009
438,440.0,2009
439,215.0,2009
440,440.0,2009
441,307.0,2009
442,400.0,2009
443,390.0,2009
444,463.0,2009
445,295.0,2009
446,576.0,2009
447,452.0,2009
448,462.0,2009
449,462.0,2009
450,501.0,2009
451,551.0,2009
