,0
0,148000.0
1,166000.0
2,167500.0
3,177500.0
4,285000.0
5,147000.0
6,161750.0
7,177500.0
8,170000.0
9,115000.0
10,189000.0
11,139000.0
12,122000.0
13,185000.0
14,320000.0
15,582933.0
16,262500.0
17,325000.0
18,147000.0
19,350000.0
20,272000.0
21,262500.0
22,142500.0
23,194500.0
24,151000.0
25,214000.0
26,323250.0
27,262500.0
28,207500.0
29,178892.5
30,214000.0
31,144000.0
32,179900.0
33,239500.0
34,239500.0
35,214000.0
36,233000.0
37,214000.0
38,233000.0
39,178892.5
40,177500.0
41,175500.0
42,262500.0
43,172500.0
44,201000.0
45,193500.0
46,147000.0
47,135450.0
48,139000.0
49,100000.0
50,100000.0
51,140000.0
52,143000.0
53,136500.0
54,109000.0
55,132000.0
56,205000.0
57,165500.0
58,233000.0
59,142000.0
60,142000.0
61,166000.0
62,128950.0
63,144900.0
64,129000.0
65,165500.0
66,68400.0
67,158500.0
68,148000.0
69,142000.0
70,102776.0
71,132000.0
72,153000.0
73,132500.0
74,147000.0
75,139000.0
76,107400.0
77,235000.0
78,235000.0
79,98000.0
80,207000.0
81,109000.0
82,140000.0
83,55000.0
84,132500.0
85,132500.0
86,95000.0
87,132000.0
88,119900.0
89,98000.0
90,129500.0
91,125500.0
92,105900.0
93,140000.0
94,142000.0
95,98000.0
96,98000.0
97,115000.0
98,87000.0
99,160000.0
100,136500.0
101,149350.0
102,125000.0
103,125000.0
104,122000.0
105,260000.0
106,55000.0
107,135450.0
108,92900.0
109,132000.0
110,80000.0
111,144900.0
112,194500.0
113,80000.0
114,320000.0
115,178000.0
116,159895.0
117,140000.0
118,148000.0
119,328000.0
120,136500.0
121,149900.0
122,232000.0
123,328000.0
124,207500.0
125,79000.0
126,109000.0
127,142000.0
128,80000.0
129,185000.0
130,161500.0
131,127000.0
132,132500.0
133,136500.0
134,98000.0
135,180000.0
136,109000.0
137,236000.0
138,287000.0
139,189000.0
140,60000.0
141,129500.0
142,122500.0
143,192000.0
144,324000.0
145,178000.0
146,167900.0
147,198900.0
148,194500.0
149,167500.0
150,100000.0
151,167500.0
