,0
0,15.3
1,15.2
2,15.3
3,15.2
4,15.0
5,15.1
6,15.1
7,15.7
8,15.7
9,15.7
10,16.9
11,17.1
12,17.6
13,17.9
14,17.8
15,17.9
16,17.9
17,17.9
18,17.8
19,17.6
20,17.0
21,17.0
22,17.0
23,17.0
24,16.9
25,16.9
26,16.6
27,16.6
28,15.8
29,15.5
30,15.5
31,15.2
32,17.4
33,17.7
34,17.7
35,19.7
36,19.9
37,20.9
38,19.6
39,18.6
40,18.0
41,18.0
42,18.0
43,17.7
44,17.1
45,17.1
46,17.1
47,17.1
48,17.0
49,17.0
50,17.0
51,17.0
52,17.0
53,17.0
54,17.0
55,17.0
56,17.4
57,18.0
58,19.1
59,20.9
60,20.9
61,20.9
62,20.9
63,20.0
64,19.6
65,19.6
66,18.7
67,18.4
68,18.0
69,18.0
70,17.1
71,16.9
72,17.0
73,16.9
74,16.5
75,16.5
76,15.9
77,15.7
78,15.7
79,15.2
80,14.9
81,14.9
82,14.6
83,12.8
84,14.6
85,16.3
86,14.6
87,16.9
88,14.1
89,14.0
90,13.7
91,13.7
92,13.7
93,13.1
94,15.4
95,13.7
96,13.1
97,13.1
98,13.0
99,13.0
100,13.0
101,13.0
102,13.0
103,13.1
104,13.0
105,13.5
106,14.2
107,13.5
108,16.3
109,15.0
110,14.8
111,14.6
112,14.2
113,13.9
114,13.9
115,15.1
116,14.0
117,14.0
118,13.8
119,14.0
120,14.1
121,15.1
122,14.199999999999998
123,14.199999999999998
124,14.199999999999998
125,14.199999999999998
126,14.199999999999998
127,14.199999999999998
128,15.1
129,15.9
130,17.3
131,17.1
132,17.2
133,17.6
134,17.8
135,20.0
136,16.3
137,16.0
138,15.6
139,15.2
140,15.2
141,15.6
142,15.4
143,15.7
144,15.7
145,15.7
146,15.7
147,15.7
148,16.1
149,15.9
150,16.1
151,15.8
152,16.0
153,16.9
154,19.9
155,19.0
156,19.9
157,20.5
158,19.9
159,19.9
160,19.0
161,18.1
162,16.9
163,16.9
164,16.3
165,16.1
166,16.1
167,15.9
168,15.7
169,15.1
170,15.1
171,14.199999999999998
172,15.0
173,16.3
174,15.0
175,14.4
176,14.7
177,14.6
178,14.6
179,13.7
180,15.5
181,15.3
182,15.2
183,15.1
184,15.0
185,15.1
186,14.4
187,13.6
188,13.6
189,13.6
190,13.7
191,14.0
192,13.7
193,13.7
194,13.7
195,13.7
196,13.7
197,13.9
198,14.0
199,13.9
200,14.0
201,13.7
202,13.7
203,15.0
204,15.3
205,15.4
206,15.8
207,15.3
208,15.2
209,15.1
210,15.0
211,15.0
212,15.0
213,14.8
214,14.8
215,14.8
216,14.6
217,14.2
218,14.0
219,13.0
220,12.3
221,11.7
222,11.6
223,11.2
224,11.4
225,11.5
226,11.9
227,11.9
228,12.1
229,12.0
230,12.0
231,13.2
232,12.0
233,12.0
234,12.0
235,13.5
236,12.1
237,12.1
238,12.1
239,12.1
240,12.0
241,12.0
242,12.0
243,11.9
244,12.0
245,12.0
246,11.9
247,12.0
248,12.0
249,12.1
250,12.5
251,12.9
252,13.2
253,13.9
254,13.9
255,13.9
256,13.8
257,13.4
258,13.4
259,13.7
260,13.8
261,13.8
262,13.9
263,14.0
264,14.0
265,13.8
266,14.0
267,13.5
268,15.0
269,13.5
270,13.2
271,13.4
272,13.9
273,14.4
274,15.1
275,15.0
276,15.8
277,16.0
278,15.9
279,15.5
280,15.5
281,15.3
282,15.0
283,15.1
284,15.0
285,14.3
286,14.3
287,17.1
288,13.7
289,13.1
290,12.6
291,12.0
